station,valid,lat,lon,elevation,tmpf,dwpf,relh,drct,sknt,feel
LBL,2018-01-27T06:00:00.000000,37.0442,-100.9599,879.0,27.483334,19.65,72.69833,268.33334,7.1666665,19.446667
LBL,2019-03-26T00:00:00.000000,37.0442,-100.9599,879.0,53.68889,41.4,63.374443,113.75,2.6666667,53.677776
EHA,2020-11-15T18:00:00.000000,37.0008,-101.88,1099.0,50.5,13.1,22.337223,192.22223,13.388889,49.01389
19S,2018-04-29T18:00:00.000000,37.4969,-100.8329,892.57,74.43889,46.172222,37.66111,188.33333,22.166666,73.403336
LBL,2020-06-15T12:00:00.000000,37.0442,-100.9599,879.0,68.166664,49.166668,50.913334,173.33333,13.666667,68.166664
EHA,2018-06-16T18:00:00.000000,37.0008,-101.88,1099.0,85.494446,64.333336,49.89389,192.22223,20.61111,87.12111
EHA,2019-10-16T00:00:00.000000,37.0008,-101.88,1099.0,61.944443,30.083334,30.79,42.22222,8.666667,61.927776
HQG,2018-05-29T12:00:00.000000,37.1631,-101.3705,956.52,64.255554,57.35,78.31167,151.66667,7.8333335,64.26111
EHA,2018-10-05T18:00:00.000000,37.0008,-101.88,1099.0,82.522224,51.833332,42.93722,223.33333,18.777779,80.53167
EHA,2020-10-10T18:00:00.000000,37.0008,-101.88,1099.0,80.861115,38.894444,23.000555,102.77778,7.1666665,78.861664
3K3,2018-11-13T06:00:00.000000,37.9917,-101.7463,1005.7,11.1,8.9,90.70722,155.55556,2.6111112,5.876111
LBL,2020-08-26T00:00:00.000000,37.0442,-100.9599,879.0,90.166664,50.666668,26.323334,155.0,11.666667,87.808334
GCK,2019-03-28T18:00:00.000000,37.9275,-100.7244,881.0,54.375,49.125,82.42,215.0,18.0,54.375
HQG,2019-10-09T00:00:00.000000,37.1631,-101.3705,956.52,75.28333,50.822224,43.070557,178.88889,18.833334,75.11444
LBL,2019-12-10T12:00:00.000000,37.0442,-100.9599,879.0,29.933332,18.366667,61.671665,246.66667,6.5,22.675
3K3,2020-05-21T18:00:00.000000,37.9917,-101.7463,1005.7,74.8,52.9,46.947777,100.0,8.555555,74.77111
GCK,2020-08-24T00:00:00.000000,37.9275,-100.7244,881.0,88.666664,58.0,35.93,151.66667,11.666667,87.985
EHA,2020-11-12T06:00:00.000000,37.0008,-101.88,1099.0,35.488888,30.88889,83.28833,201.66667,8.0,28.592222
EHA,2020-09-09T12:00:00.000000,37.0008,-101.88,1099.0,37.427776,37.238888,99.261665,107.77778,14.611111,27.969444
EHA,2019-02-25T18:00:00.000000,37.0008,-101.88,1099.0,51.872223,31.655556,48.189445,201.11111,12.611111,48.634445
HQG,2019-01-12T12:00:00.000000,37.1631,-101.3705,956.52,31.816668,30.372223,94.337776,358.8889,17.5,19.689444
3K3,2020-04-28T12:00:00.000000,37.9917,-101.7463,1005.7,54.3,37.4,54.31278,83.333336,7.5,53.68722
HQG,2018-01-16T18:00:00.000000,37.1631,-101.3705,956.52,14.861111,-4.55,42.920555,340.55554,7.8333335,3.296111
19S,2018-06-12T00:00:00.000000,37.4969,-100.8329,892.57,87.72222,53.36111,31.578333,35.555557,13.5,85.75667
EHA,2019-05-17T18:00:00.000000,37.0008,-101.88,1099.0,81.47222,58.41111,49.515556,201.11111,21.277779,80.935
JHN,2019-07-07T06:00:00.000000,37.5782,-101.7304,1012.71,68.98333,64.79444,86.98222,146.11111,5.611111,68.95556
3K3,2019-06-28T12:00:00.000000,37.9917,-101.7463,1005.7,61.6,53.1,74.44111,85.0,2.9444444,61.6
LBL,2020-12-17T12:00:00.000000,37.0442,-100.9599,879.0,15.666667,11.15,82.11833,286.66666,7.5,4.9783335
JHN,2020-10-30T12:00:00.000000,37.5782,-101.7304,1012.71,33.45,33.116665,98.67167,191.11111,3.8888888,29.642221
EHA,2020-08-14T00:00:00.000000,37.0008,-101.88,1099.0,91.833336,64.522224,41.146667,105.55556,9.277778,94.00222
EHA,2020-09-25T18:00:00.000000,37.0008,-101.88,1099.0,89.98333,46.738888,23.505556,162.22223,3.8888888,87.244446
LBL,2019-11-28T18:00:00.000000,37.0442,-100.9599,879.0,32.2,30.725,94.1425,158.75,17.25,20.32875
19S,2018-01-01T18:00:00.000000,37.4969,-100.8329,892.57,7.616667,-5.766667,54.72167,164.44444,8.277778,-5.5805554
HQG,2019-08-16T12:00:00.000000,37.1631,-101.3705,956.52,68.172226,65.93889,93.02778,135.0,8.444445,68.17778
